timestamp,user,src_ip,url,action,category,bytes_sent,bytes_received,user_agent,threat_name
2024-01-15T01:00:00Z,jsmith,10.0.0.10,https://google.com/search,ALLOW,Productivity,4447,47522,Mozilla/5.0 (Windows NT 10.0; Win64; x64),
2024-01-15T01:00:36Z,bjones,10.0.0.11,https://github.com/pulls,ALLOW,Productivity,582,43290,Mozilla/5.0 (Windows NT 10.0; Win64; x64),
2024-01-15T01:01:12Z,mwilson,10.0.0.12,https://slack.com/messages,ALLOW,Productivity,565,1641,Mozilla/5.0 (Windows NT 10.0; Win64; x64),
2024-01-15T01:01:48Z,alee,10.0.0.10,https://zoom.us/join,ALLOW,Productivity,105,16420,Mozilla/5.0 (Windows NT 10.0; Win64; x64),
2024-01-15T01:02:24Z,jsmith,10.0.0.11,https://outlook.office365.com,ALLOW,Productivity,126,31058,Mozilla/5.0 (Windows NT 10.0; Win64; x64),
2024-01-15T01:03:00Z,bjones,10.0.0.12,https://stackoverflow.com/questions,ALLOW,Productivity,2949,30482,Mozilla/5.0 (Windows NT 10.0; Win64; x64),
2024-01-15T01:03:36Z,mwilson,10.0.0.10,https://google.com/search,ALLOW,Productivity,1999,30333,Mozilla/5.0 (Windows NT 10.0; Win64; x64),
2024-01-15T01:04:12Z,alee,10.0.0.11,https://github.com/pulls,ALLOW,Productivity,4830,39443,Mozilla/5.0 (Windows NT 10.0; Win64; x64),
2024-01-15T01:04:48Z,jsmith,10.0.0.12,https://slack.com/messages,ALLOW,Productivity,4738,20620,Mozilla/5.0 (Windows NT 10.0; Win64; x64),
2024-01-15T01:05:24Z,bjones,10.0.0.10,https://zoom.us/join,ALLOW,Productivity,1372,49071,Mozilla/5.0 (Windows NT 10.0; Win64; x64),
2024-01-15T01:06:00Z,mwilson,10.0.0.11,https://outlook.office365.com,ALLOW,Productivity,808,47496,Mozilla/5.0 (Windows NT 10.0; Win64; x64),
2024-01-15T01:06:36Z,alee,10.0.0.12,https://stackoverflow.com/questions,ALLOW,Productivity,885,25695,Mozilla/5.0 (Windows NT 10.0; Win64; x64),
